gemeinde_id;gemeinde_name;median_income
1;Aeugst am Albis;92’532
2;Affoltern am Albis;61’356
3;Bonstetten;76’539
4;Hausen am Albis;78’796
5;Hedingen;79’364
6;Kappel am Albis;81’026
7;Knonau;73’241
8;Maschwanden;61’171
9;Mettmenstetten;74’935
10;Obfelden;65’073
11;Ottenbach;71’023
12;Rifferswil;77’937
13;Stallikon;88’026
14;Wettswil am Albis;99’525
21;Adlikon;66’381
22;Benken (ZH);70’432
23;Berg am Irchel;98’032
24;Buch am Irchel;70’083
25;Dachsen;70’957
26;Dorf;69’033
27;Feuerthalen;62’813
28;Flaach;64’353
29;Flurlingen;78’497
30;Andelfingen;73’043
31;Henggart;66’303
32;Humlikon;76’866
33;Kleinandelfingen;65’966
34;Laufen-Uhwiesen;83’864
35;Marthalen;70’082
37;Ossingen;61’075
38;Rheinau;59’253
39;Thalheim an der Thur;64’539
40;Trüllikon;60’838
41;Truttikon;62’637
43;Volken;72’095
51;Bachenbülach;66’217
52;Bassersdorf;65’923
53;Bülach;63’950
54;Dietlikon;68’145
55;Eglisau;71’489
56;Embrach;60’138
57;Freienstein-Teufen;67’371
58;Glattfelden;62’095
59;Hochfelden;68’854
60;Höri;55’289
61;Hüntwangen;72’654
62;Kloten;57’460
63;Lufingen;79’932
64;Nürensdorf;82’119
65;Oberembrach;72’341
66;Opfikon;62’533
67;Rafz;66’630
68;Rorbas;60’382
69;Wallisellen;74’322
70;Wasterkingen;63’898
71;Wil (ZH);74’418
72;Winkel;95’847
81;Bachs;63’775
82;Boppelsen;99’944
83;Buchs (ZH);64’454
84;Dällikon;62’866
85;Dänikon;67’406
86;Dielsdorf;61’471
87;Hüttikon;87’656
88;Neerach;95’432
89;Niederglatt;60’739
90;Niederhasli;61’120
91;Niederweningen;71’538
92;Oberglatt;54’517
93;Oberweningen;71’767
94;Otelfingen;72’054
95;Regensberg;80’009
96;Regensdorf;59’756
97;Rümlang;59’845
98;Schleinikon;64’350
99;Schöfflisdorf;78’923
100;Stadel;63’439
101;Steinmaur;67’432
102;Weiach;57’886
111;Bäretswil;64’246
112;Bubikon;68’672
113;Dürnten;61’917
114;Fischenthal;54’355
115;Gossau (ZH);67’865
116;Grüningen;70’004
117;Hinwil;60’383
118;Rüti (ZH);54’774
119;Seegräben;67’862
120;Wald (ZH);52’866
121;Wetzikon (ZH);57’644
131;Adliswil;76’667
135;Kilchberg (ZH);157’580
136;Langnau am Albis;79’204
137;Oberrieden;102’293
138;Richterswil;75’099
139;Rüschlikon;155’395
141;Thalwil;98’579
151;Erlenbach (ZH);155’322
152;Herrliberg;151’509
153;Hombrechtikon;65’035
154;Küsnacht (ZH);155’818
155;Männedorf;88’210
156;Meilen;118’181
157;Oetwil am See;58’932
158;Stäfa;85’398
159;Uetikon am See;99’780
160;Zumikon;152’218
161;Zollikon;146’796
172;Fehraltorf;67’722
173;Hittnau;68’955
176;Lindau;74’176
177;Pfäffikon;67’281
178;Russikon;76’514
180;Weisslingen;72’983
181;Wila;56’205
182;Wildberg;64’472
191;Dübendorf;68’378
192;Egg;78’411
193;Fällanden;76’017
194;Greifensee;77’095
195;Maur;94’897
196;Mönchaltorf;64’182
197;Schwerzenbach;67’553
198;Uster;67’569
199;Volketswil;67’646
200;Wangen-Brüttisellen;71’155
211;Altikon;67’838
213;Brütten;85’304
214;Dägerlen;64’636
215;Dättlikon;86’284
216;Dinhard;72’842
218;Ellikon an der Thur;70’783
219;Elsau;66’858
220;Hagenbuch;61’895
221;Hettlingen;82’669
223;Neftenbach;74’949
224;Pfungen;60’351
225;Rickenbach (ZH);63’120
226;Schlatt (ZH);62’220
227;Seuzach;74’467
228;Turbenthal;52’957
230;Winterthur;57’253
231;Zell (ZH);56’428
241;Aesch (ZH);96’696
242;Birmensdorf (ZH);73’985
243;Dietikon;52’009
244;Geroldswil;68’520
245;Oberengstringen;65’546
246;Oetwil an der Limmat;79’972
247;Schlieren;55’107
248;Uitikon;129’343
249;Unterengstringen;77’069
250;Urdorf;64’610
251;Weiningen (ZH);70’216
261;Zürich;70’394
292;Stammheim;61’517
293;Wädenswil;74’011
294;Elgg;59’901
295;Horgen;85’767
296;Illnau-Effretikon;59’436
297;Bauma;57’072
298;Wiesendangen;72’817
301;Aarberg;55’786
302;Bargen (BE);52’600
303;Grossaffoltern;55’736
304;Kallnach;56’382
305;Kappelen;60’398
306;Lyss;55’473
307;Meikirch;67’179
309;Radelfingen;55’240
310;Rapperswil (BE);60’449
311;Schüpfen;58’972
312;Seedorf (BE);57’579
321;Aarwangen;52’069
322;Auswil;44’346
323;Bannwil;51’432
324;Bleienbach;47’381
325;Busswil bei Melchnau;51’306
326;Gondiswil;44’478
329;Langenthal;51’387
331;Lotzwil;49’771
332;Madiswil;48’664
333;Melchnau;47’286
334;Obersteckholz;49’421
335;Oeschenbach;44’961
336;Reisiswil;49’782
337;Roggwil (BE);48’069
338;Rohrbach;43’513
339;Rohrbachgraben;42’499
340;Rütschelen;47’582
341;Schwarzhäusern;56’395
342;Thunstetten;51’855
344;Ursenbach;42’601
345;Wynau;49’257
351;Bern;57’064
352;Bolligen;72’585
353;Bremgarten bei Bern;76’545
354;Kirchlindach;74’810
355;Köniz;59’709
356;Muri bei Bern;83’842
357;Oberbalm;50’755
358;Stettlen;66’696
359;Vechigen;61’723
360;Wohlen bei Bern;66’437
361;Zollikofen;57’120
362;Ittigen;59’707
363;Ostermundigen;50’368
371;Biel/Bienne;44’973
372;Evilard;74’549
381;Arch;53’080
382;Büetigen;54’843
383;Büren an der Aare;56’056
385;Diessbach bei Büren;57’071
386;Dotzigen;51’802
387;Lengnau (BE);50’266
388;Leuzigen;51’350
389;Meienried;68’471
390;Meinisberg;54’041
391;Oberwil bei Büren;49’683
392;Pieterlen;48’300
393;Rüti bei Büren;49’034
394;Wengi;57’271
401;Aefligen;51’229
402;Alchenstorf;54’001
403;Bäriswil;59’826
404;Burgdorf;50’290
405;Ersigen;54’552
406;Hasle bei Burgdorf;47’031
407;Heimiswil;46’972
408;Hellsau;53’522
409;Hindelbank;56’211
410;Höchstetten;47’436
411;Kernenried;55’487
412;Kirchberg (BE);57’971
413;Koppigen;53’410
414;Krauchthal;55’932
415;Lyssach;52’619
416;Mötschwil;49’701
418;Oberburg;45’938
420;Rüdtligen-Alchenflüh;48’870
421;Rumendingen;45’422
422;Rüti bei Lyssach;54’960
423;Willadingen;54’330
424;Wynigen;48’784
431;Corgémont;52’269
432;Cormoret;49’850
433;Cortébert;46’138
434;Courtelary;51’238
435;La Ferrière;49’997
437;Mont-Tramelan;45’323
438;Orvin;50’319
441;Renan (BE);45’701
442;Romont (BE);53’643
443;Saint-Imier;44’030
444;Sonceboz-Sombeval;49’488
445;Sonvilier;43’566
446;Tramelan;48’171
448;Villeret;48’940
449;Sauge;49’200
450;Péry-La Heutte;48’347
491;Brüttelen;52’572
492;Erlach;59’081
493;Finsterhennen;49’895
494;Gals;58’963
495;Gampelen;57’410
496;Ins;59’210
497;Lüscherz;60’894
498;Müntschemier;56’039
499;Siselen;53’230
500;Treiten;58’218
501;Tschugg;60’737
502;Vinelz;57’597
533;Bätterkinden;55’314
535;Deisswil bei Münchenbuchsee;59’452
536;Diemerswil;66’019
538;Fraubrunnen;59’399
540;Jegenstorf;63’656
541;Iffwil;63’535
543;Mattstetten;64’642
544;Moosseedorf;56’421
546;Münchenbuchsee;56’252
551;Urtenen-Schönbühl;53’295
552;Utzenstorf;53’646
553;Wiggiswil;54’527
554;Wiler bei Utzenstorf;52’245
556;Zielebach;51’938
557;Zuzwil (BE);66’409
561;Adelboden;41’639
562;Aeschi bei Spiez;48’952
563;Frutigen;46’048
564;Kandergrund;40’860
565;Kandersteg;42’156
566;Krattigen;49’728
567;Reichenbach im Kandertal;46’153
571;Beatenberg;30’819
572;Bönigen;47’959
573;Brienz (BE);45’049
574;Brienzwiler;43’897
575;Därligen;46’936
576;Grindelwald;45’734
577;Gsteigwiler;48’654
578;Gündlischwand;44’444
579;Habkern;32’062
580;Hofstetten bei Brienz;42’711
581;Interlaken;47’948
582;Iseltwald;37’607
584;Lauterbrunnen;33’338
585;Leissigen;53’663
586;Lütschental;38’424
587;Matten bei Interlaken;47’596
588;Niederried bei Interlaken;41’303
589;Oberried am Brienzersee;45’161
590;Ringgenberg (BE);47’143
591;Saxeten;32’042
592;Schwanden bei Brienz;49’877
593;Unterseen;52’914
594;Wilderswil;46’843
602;Arni (BE);46’709
603;Biglen;51’348
605;Bowil;44’277
606;Brenzikofen;50’814
607;Freimettigen;54’890
608;Grosshöchstetten;55’971
609;Häutligen;57’040
610;Herbligen;52’385
611;Kiesen;60’988
