plz;gemeinde_id;gemeinde_name
8914;1;Aeugst am Albis
8909;2;Affoltern am Albis
8910;2;Affoltern am Albis
8906;3;Bonstetten
6340;4;Hausen am Albis
8135;4;Hausen am Albis
8915;4;Hausen am Albis
8925;4;Hausen am Albis
8908;5;Hedingen
8926;6;Kappel am Albis
8926;6;Kappel am Albis
8926;6;Kappel am Albis
8934;7;Knonau
8933;8;Maschwanden
8932;9;Mettmenstetten
8910;10;Obfelden
8912;10;Obfelden
8913;11;Ottenbach
8911;12;Rifferswil
8134;13;Stallikon
8143;13;Stallikon
8143;13;Stallikon
8907;14;Wettswil am Albis
8463;22;Benken (ZH)
8415;23;Berg am Irchel
8415;23;Berg am Irchel
8414;24;Buch am Irchel
8447;25;Dachsen
8458;26;Dorf
8245;27;Feuerthalen
8246;27;Feuerthalen
8416;28;Flaach
8247;29;Flurlingen
8444;31;Henggart
8451;33;Kleinandelfingen
8453;33;Kleinandelfingen
8461;33;Kleinandelfingen
8212;34;Laufen-Uhwiesen
8248;34;Laufen-Uhwiesen
8447;34;Laufen-Uhwiesen
8460;35;Marthalen
8464;35;Marthalen
8466;37;Ossingen
8475;37;Ossingen
8462;38;Rheinau
8464;38;Rheinau
8478;39;Thalheim an der Thur
8465;40;Trüllikon
8465;40;Trüllikon
8466;40;Trüllikon
8467;41;Truttikon
8459;43;Volken
8180;51;Bachenbülach
8184;51;Bachenbülach
8303;52;Bassersdorf
8180;53;Bülach
8192;53;Bülach
8305;54;Dietlikon
8600;54;Dietlikon
8193;55;Eglisau
8197;55;Eglisau
8424;56;Embrach
8427;57;Freienstein-Teufen
8428;57;Freienstein-Teufen
8180;58;Glattfelden
8192;58;Glattfelden
8192;58;Glattfelden
8193;58;Glattfelden
8182;59;Hochfelden
8192;59;Hochfelden
8181;60;Höri
8194;61;Hüntwangen
8302;62;Kloten
8309;62;Kloten
8426;63;Lufingen
8309;64;Nürensdorf
8425;65;Oberembrach
8052;66;Opfikon
8152;66;Opfikon
8152;66;Opfikon
8152;66;Opfikon
8197;67;Rafz
8427;68;Rorbas
8428;68;Rorbas
8304;69;Wallisellen
8195;70;Wasterkingen
8196;70;Wasterkingen
8196;71;Wil (ZH)
8197;71;Wil (ZH)
8180;72;Winkel
8185;72;Winkel
8164;81;Bachs
8113;82;Boppelsen
8158;82;Boppelsen
8107;83;Buchs (ZH)
8108;84;Dällikon
8114;85;Dänikon
8157;86;Dielsdorf
8115;87;Hüttikon
8162;88;Neerach
8164;88;Neerach
8173;88;Neerach
8174;88;Neerach
8155;89;Niederglatt
8172;89;Niederglatt
8155;90;Niederhasli
8155;90;Niederhasli
8156;90;Niederhasli
8166;91;Niederweningen
8154;92;Oberglatt
5462;93;Oberweningen
8165;93;Oberweningen
8107;94;Otelfingen
8112;94;Otelfingen
8158;95;Regensberg
8105;96;Regensdorf
8105;96;Regensdorf
8106;96;Regensdorf
8052;97;Rümlang
8152;97;Rümlang
8153;97;Rümlang
8165;98;Schleinikon
8165;99;Schöfflisdorf
8174;100;Stadel
8175;100;Stadel
8155;101;Steinmaur
8162;101;Steinmaur
8162;101;Steinmaur
8187;102;Weiach
8340;111;Bäretswil
8344;111;Bäretswil
8345;111;Bäretswil
8498;111;Bäretswil
8608;112;Bubikon
8633;112;Bubikon
8340;113;Dürnten
8608;113;Dürnten
8630;113;Dürnten
8632;113;Dürnten
8635;113;Dürnten
8636;113;Dürnten
8340;114;Fischenthal
8494;114;Fischenthal
8496;114;Fischenthal
8497;114;Fischenthal
8498;114;Fischenthal
8614;115;Gossau (ZH)
8617;115;Gossau (ZH)
8624;115;Gossau (ZH)
8625;115;Gossau (ZH)
8626;115;Gossau (ZH)
8627;115;Gossau (ZH)
8627;116;Grüningen
8340;117;Hinwil
8342;117;Hinwil
8498;117;Hinwil
8630;118;Rüti (ZH)
8636;118;Rüti (ZH)
8607;119;Seegräben
8497;120;Wald (ZH)
8636;120;Wald (ZH)
8637;120;Wald (ZH)
8345;121;Wetzikon (ZH)
8620;121;Wetzikon (ZH)
8623;121;Wetzikon (ZH)
8041;131;Adliswil
8134;131;Adliswil
8802;135;Kilchberg (ZH)
8803;135;Kilchberg (ZH)
8135;136;Langnau am Albis
8942;137;Oberrieden
8805;138;Richterswil
8833;138;Richterswil
8803;139;Rüschlikon
8136;141;Thalwil
8800;141;Thalwil
8703;151;Erlenbach (ZH)
8703;152;Herrliberg
8704;152;Herrliberg
8627;153;Hombrechtikon
8634;153;Hombrechtikon
8714;153;Hombrechtikon
8127;154;Küsnacht (ZH)
8700;154;Küsnacht (ZH)
8618;155;Männedorf
8708;155;Männedorf
8706;156;Meilen
8618;157;Oetwil am See
8634;158;Stäfa
8712;158;Stäfa
8713;158;Stäfa
8707;159;Uetikon am See
8126;160;Zumikon
8125;161;Zollikon
8702;161;Zollikon
8308;172;Fehraltorf
8320;172;Fehraltorf
8335;173;Hittnau
8310;176;Lindau
8310;176;Lindau
8312;176;Lindau
8315;176;Lindau
8317;176;Lindau
8330;177;Pfäffikon
8331;177;Pfäffikon
8623;177;Pfäffikon
8322;178;Russikon
8322;178;Russikon
8332;178;Russikon
8332;178;Russikon
8308;180;Weisslingen
